               eta                    f                   f'                  f''
      3.6000000000         0.0064774825         0.0035965051         0.0009961203
      3.7000000000         0.0068421131         0.0036961007         0.0009957887
      3.8000000000         0.0072167015         0.0037956622         0.0009954388
      3.9000000000         0.0076012443         0.0038951878         0.0009950702
      4.0000000000         0.0079957378         0.0039946756         0.0009946823
      4.1000000000         0.0084001781         0.0040941236         0.0009942747
      4.2000000000         0.0088145611         0.0041935299         0.0009938469
      4.3000000000         0.0092388826         0.0042928923         0.0009933985
      4.4000000000         0.0096731381         0.0043922089         0.0009929290
      4.5000000000         0.0101173228         0.0044914774         0.0009924379
      4.6000000000         0.0105714319         0.0045906957         0.0009919247
